Author Name,Tweet,Friends,CreatedAt,Id,Favorite Count,Retweet Count,Company,Source
Justin Pulitzer,ðŸ†• Monthly Sub - Mid Week Review VIDEO 3/8: $SPY $ES $VIX $IWM $QQQ $TLT $XBT $XLF $JPMâ€¦ u,200,3/8/18 3:29,9.71589E+17,1,4,GOOGLE,Twitter
Justin Pulitzer,ðŸ†• Ã€ La Carte - Mid Week Review VIDEO 3/8: $SPY $ES $VIX $IWM $QQQ $TLT $XBT $XLF $JPM $IYTâ€¦,200,3/8/18 3:28,9.71588E+17,0,0,GOOGLE,Twitter
Naseem,@smartertrader $googl time?,15,3/8/18 3:27,9.71588E+17,0,0,GOOGLE,Twitter
Hotpage News,Google Just Indexed Millions of 'Life Magazine' Photos Using Artificial Intelligence $GOOG $GOOGL -,18309,3/8/18 3:14,9.71585E+17,1,0,GOOGLE,Twitter
Hotpage News,Google just added one of its most futuristic features to every Android phone â€” and it's coming soon to iPhonesâ€¦,18309,3/8/18 3:13,9.71585E+17,0,0,GOOGLE,Twitter
NYCPunter,"People in room wanted to play $BIIB and $TSLA. Sure those may work, but why do the HARD trade while we are killingâ€¦ 9",37,3/8/18 3:05,9.71583E+17,2,0,GOOGLE,Twitter
Hotpage News,Google Maps lets businesses promote themselves as women-led $GOOG $GOOGL -,18309,3/8/18 3:04,9.71582E+17,0,0,GOOGLE,Twitter
Peter Burns,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,5597,3/8/18 2:55,9.7158E+17,0,11,GOOGLE,Twitter
Sean Harris,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,5973,3/8/18 2:36,9.71575E+17,0,11,GOOGLE,Twitter
robert f,RT @WeeklyOptTrader: $GOOGL 1120 riding from 2.55.. Still half position from yesterday 11.02 am EST 8,11,3/8/18 2:24,9.71572E+17,0,2,GOOGLE,Twitter
Raymond,#interest #rate $BTC $SPX $NASDAQ $DJIA $CAC $DAX $FTSE $JPM $TSLA $ES_F $CL_F $GC_F $TLT $WMT $JNJ $FB $GOOGLâ€¦,5780,3/8/18 2:20,9.71571E+17,0,0,GOOGLE,Twitter
